,City,Latitude,Longitude,temp,feels_like,pressure,humidity,sea_level,grnd_level
0,Mumbai,19.076,72.8777,30.0,29.36,1012.0,37.0,1012.0,1011.0
1,Delhi,28.7041,77.1025,19.06,17.54,1017.0,20.0,1017.0,992.0
2,Bengaluru,12.9716,77.5946,25.54,25.82,1012.0,64.0,1012.0,915.0
3,Hyderabad,17.385,78.4867,26.23,26.23,1013.0,38.0,1013.0,950.0
4,Ahmedabad,23.0225,72.5714,22.02,21.06,1016.0,30.0,1016.0,1010.0
5,Chennai,13.0827,80.2707,24.27,25.23,1011.0,95.0,1011.0,1010.0
6,Kolkata,22.5726,88.3639,21.96,21.88,1014.0,64.0,1014.0,1013.0
7,Surat,21.1702,72.8311,27.94,27.15,1013.0,32.0,1013.0,1012.0
8,Pune,18.5204,73.8567,27.22,26.97,1013.0,39.0,1013.0,941.0
9,Jaipur,26.9124,75.7873,19.68,18.28,1017.0,22.0,1017.0,970.0
10,Lucknow,26.8467,80.9462,21.84,20.47,1016.0,15.0,1016.0,1002.0
11,Kanpur,26.4499,80.3319,21.56,20.16,1017.0,15.0,1017.0,1002.0
12,Nagpur,21.1458,79.0882,22.97,22.6,1015.0,49.0,1015.0,980.0
13,Bhopal,23.2599,77.4126,19.59,18.62,1016.0,39.0,1016.0,959.0
14,Visakhapatnam,17.6868,83.2185,27.78,29.23,1013.0,61.0,1013.0,1007.0
15,Patna,25.5941,85.1376,22.98,22.46,1016.0,43.0,1016.0,1009.0
16,Vadodara,22.3072,73.1812,25.0,24.42,1015.0,33.0,1015.0,1011.0
17,Tawang,27.3659,91.5734,20.91,20.05,1012.0,38.0,1012.0,792.0
18,Guwahati,26.1445,91.7362,22.0,22.16,1013.0,73.0,1013.0,995.0
19,Aizawl,23.1645,92.9376,26.35,26.35,1011.0,24.0,1011.0,924.0
20,Meghalaya,25.467,91.5822,15.47,14.17,1013.0,42.0,1013.0,840.0
21,Kochi,9.9312,76.2673,30.99,36.98,1009.0,68.0,1009.0,1008.0
22,Mysore,12.2958,76.6394,26.0,26.0,1011.0,65.0,1011.0,929.0
23,Panaji,15.499,73.8243,30.95,33.57,1010.0,55.0,1010.0,1010.0
24,Coimbatore,11.0168,76.9558,27.78,28.55,1011.0,54.0,1011.0,958.0
25,Leh,34.1526,77.5773,-2.87,-5.5,1013.0,43.0,1013.0,587.0
26,Jammu,32.7266,74.857,19.5,17.77,1017.0,10.0,1017.0,980.0
27,Jaisalmer,26.9157,70.9228,21.0,19.6,1018.0,17.0,1018.0,992.0
